,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
西元年,,,,,,,,,,,,,,,,,,,,,,,,
2018,"20,095,980","913,454","1,043,924","1,352,669","1,150,408","1,079,881","904,532","1,009,320","885,269","1,281,838","815,640","750,972","742,865","690,359","761,471","797,070","667,520","762,140","708,464","922,211","1,221,006","898,280","758,455","891,686"
2019,"20,460,073","930,003","1,028,484","1,453,122","1,097,938","1,110,432","889,505","1,052,227","943,095","1,321,844","812,162","792,028","753,096","738,345","702,623","780,684","653,400","750,948","758,964","962,967","1,344,274","941,869","699,315","872,751"
2020,"20,506,444","932,111","1,009,118","1,403,085","1,120,267","1,074,900","893,623","1,012,250","933,377","1,361,943","870,864","752,819","783,964","782,188","722,958","843,329","637,212","761,363","754,252","877,597","1,280,140","925,459","717,876","987,860"
2021,"20,571,008","935,046","1,045,286","1,367,620","1,120,970","1,087,711","905,191","1,008,211","958,444","1,408,859","901,562","834,470","767,700","762,561","724,033","817,418","705,853","759,130","618,111","902,578","1,305,898","961,786","778,050","829,566"
2022,"20,836,959","947,135","1,076,204","1,405,042","1,142,527","1,132,155","928,457","1,076,763","967,881","1,294,741","891,328","825,588","835,100","756,793","698,777","869,118","701,736","721,195","690,544","910,137","1,407,071","936,414","734,796","834,592"
