課程名稱,上課地點,開放報名,開課日期,性質
烘焙麵包基礎班第01期,新竹縣新豐鄉新興路1號,2022/07/27,2022/08/13,在職
客家花布實務應用班第01期,新竹縣竹北市縣政八街77號1F,2022/07/26,2022/08/06,在職
多元潮流皮革寶石設計實務班第01期,新竹縣竹北市中正西路247號3樓,2022/07/26,2022/08/27,在職
嬰幼兒照顧技巧培訓A班第02期,新竹縣竹北市中正東路213號1樓,2022/07/26,2022/08/07,在職
創意編織版畫應用訓練班 第01期,新竹縣,2022/06/16,2022/08/15,職前
觀光旅遊進階西班牙文班第01期,新竹縣竹北市中正東路213號2樓,2022/05/26,2022/06/26,在職
觀光旅遊基礎西班牙文班第01期,新竹縣竹北市中正東路213號2樓,2022/05/25,2022/06/25,在職
網路行銷經營管理實務班第01期,新竹縣竹北市中正東路213號1樓,2022/05/25,2022/06/25,在職
PMP國際專案管理訓練班第04期,新竹縣竹北市縣政八街77號1樓,2022/05/25,2022/06/25,在職
精品咖啡製作訓練班第09期,新竹縣竹北市縣政八街77號1樓,2022/05/18,2022/06/18,在職
男女快速剪髮設計班第01期,新竹縣竹北市十興路１段261號2樓,2022/05/18,2022/06/18,在職
食物製備應用班第04期,新竹縣湖口鄉中平路１段510號,2022/05/18,2022/06/18,在職
西點麵包實務烘焙班第02期,新竹縣湖口鄉中山路３段530號,2022/05/18,2022/06/18,在職
Excel Power BI大數據分析應用實務班第01期,新竹縣竹北市中正東路213號1樓,2022/05/12,2022/06/12,在職
照顧服務員職前班 （第一期） 第01期,新竹縣,2022/05/02,2022/08/22,職前
照顧服務員數位實習B班 第01期,新竹縣,2022/05/02,2022/10/03,職前
照顧服務員訓練班 第01期,新竹縣,2022/05/01,2022/09/27,職前
照顧服務員職前訓練A班 第01期,新竹縣,2022/04/20,2022/07/01,職前
複合媒材手創商品製作行銷實務班 第01期,新竹縣,2022/04/19,2022/07/11,職前
時尚3D美睫美甲美容班 第01期,新竹縣,2022/04/18,2022/07/18,職前
創意皮雕染色班第01期,新竹縣竹北市縣政八街77號二樓,2022/04/15,2022/05/15,在職
嬰幼兒撫觸與按摩班第01期,新竹縣竹北市中正東路213號1樓,2022/04/14,2022/05/14,在職
宴客料理製作班第01期,新竹縣竹北市中正東路213號1樓,2022/04/11,2022/05/11,在職
俏睫美眉專業技能班 第01期,新竹縣,2022/04/11,2022/09/05,職前
美甲沙龍美容專業實務班 第01期,新竹縣,2022/04/11,2022/08/29,職前
服飾製作與舊衣新裝飾品創意班 第01期,新竹縣,2022/04/08,2022/06/20,職前
韓式擠花刮刀花蛋糕裝飾班第01期,新竹縣竹北市文興路１段30號4樓,2022/04/07,2022/05/07,在職
企業採購與談判議價策略實務班第04期,新竹縣竹北市縣政八街77號1樓,2022/04/07,2022/05/07,在職
勞動法令與就業服務訓練班第02期,新竹縣竹北市嘉豐七街145號4樓,2022/04/07,2022/05/07,在職
金融證券理財交易實戰班第01期,新竹縣竹北市中正東路213號1樓,2022/04/07,2022/05/07,在職
宅經濟複合式美食料理實務班 第01期,新竹縣,2022/04/06,2022/04/25,職前
照顧服務員訓練班在職假日班 第01期,新竹縣,2022/04/06,2022/10/15,職前
新制多益聽力閱讀訓練班第01期,新竹縣竹北市中正東路213號1樓,2022/04/05,2022/05/05,在職
坐月子居家服務員訓練班 第01期,新竹縣,2022/04/01,2022/07/21,職前
皮革精品及布藝創意設計培訓班 第01期,新竹縣,2022/04/01,2022/05/10,職前
咖啡手工調製應用班第03期,新竹縣竹北市縣政八街77號1F,2022/03/30,2022/04/30,在職
咖啡職人培訓班第01期,新竹縣竹北市中正東路213號1樓,2022/03/24,2022/04/24,在職
香氛蠟燭製作實務班第01期,新竹縣竹北市縣政八街77號1樓,2022/03/24,2022/04/24,在職
健康照護經絡保健班第08期,新竹縣竹東鎮東寧路２段247巷2號2樓,2022/03/24,2022/04/24,在職
Excel VBA巨集與網路爬蟲實務應用班第01期,新竹縣竹北市嘉豐七街145號4樓,2022/03/23,2022/04/23,在職
嬰幼兒照顧技巧培訓D班第01期,新竹縣竹北市中正東路213號1樓,2022/03/19,2022/04/19,在職
