課程名稱,上課地點,開放報名,開課日期,性質
手機拍攝技巧實務班第02期,高雄市苓雅區光華一路206號17樓之5,2022/11/17,2022/12/17,在職
不動產營業員進階訓練班第02期,高雄市苓雅區光華一路206號17樓之5,2022/11/15,2022/12/15,在職
西餐料理烹調實務班第01期,高雄市苓雅區中正一路102號,2022/11/14,2022/12/14,在職
不動產經紀營業員專業訓練班第10期,高雄市新興區中山二路472號5樓之8,2022/11/14,2022/12/14,在職
HTML5+CSS3響應式網站設計實作班第02期,高雄市三民區堯山街8號,2022/11/13,2022/12/13,在職
自媒體網路建置與社群行銷實務班,高雄市鳳山區光遠路226號B1,2022/11/13,2022/12/13,在職
堆高機操作人員訓練班第06期,高雄市前鎮區瑞隆路472號2樓,2022/11/13,2022/12/13,在職
三菱Q系列可程式控制進階學士學分班第01期,高雄市燕巢區大學路1號,2022/11/11,2022/12/11,在職
Illustrator＆Photoshop自媒體影像製作實務班,高雄市鳳山區光遠路226號B1,2022/11/10,2022/12/10,在職
BIM建築資訊模型建築土木元件參數化實務班第01期,高雄市三民區建工路415號,2022/11/10,2022/12/11,在職
公寓大廈管理維護爭議處理培訓班第01期,高雄市三民區三民街222號,2022/11/10,2022/12/10,在職
營業用動力小船駕駛訓練班第01期,高雄市前鎮區漁港南一路35號3樓,2022/11/10,2022/12/10,在職
中餐烹調技能班第02期,高雄市仁武區鳳仁路253號1樓,2022/11/09,2022/12/09,在職
農地開發應用實務處理解析班,高雄市前金區中華四路283號5樓,2022/11/08,2022/12/08,在職
社群媒體行銷班第01期,高雄市苓雅區光華一路206號17樓之5,2022/11/07,2022/12/07,在職
3D列印珠寶建模設計班第13期,高雄市前鎮區中山三路132號,2022/11/07,2022/12/13,在職
甲種職業安全衛生業務主管訓練班第02期,高雄市前鎮區一心二路128號8樓之2,2022/11/06,2022/12/06,在職
乙炔熔接作業人員安全衛生訓練班第01期,高雄市新興區七賢一路251號14樓,2022/11/06,2022/12/06,在職
體適能體態雕塑班第01期,高雄市苓雅區武廟路124號,2022/11/05,2022/12/05,在職
咖啡萃取與拉花實務班,高雄市新興區七賢一路469號8樓之3,2022/11/05,2022/12/05,在職
台灣在地文化原創桌遊與教具設計人才培訓班第01期,高雄市苓雅區中正一路249號7樓之1,2022/11/04,2022/12/04,在職
