課程名稱,上課地點,開放報名,開課日期,性質
職場Office行政軟體應用班第01期,彰化縣彰化市中正路２段75號,2022/09/04,2022/10/04,在職
財務報表閱讀與分析精修班第02期,彰化縣彰化市民族路209號7樓,2022/09/01,2022/10/01,在職
室內配線實務班第01期,彰化縣大村鄉學府路168號,2022/08/26,2022/09/25,在職
廣告工程專業技術人員訓練班第01期,彰化縣彰化市新平路146號2樓,2022/08/25,2022/09/25,在職
Photoshop及lllustrator整合實務班第02期,彰化縣彰化市介壽北路1號,2022/08/24,2022/10/29,在職
電腦輔助機械製圖班(勞動學苑) 第4期,彰化縣,2022/08/23,2022/11/18,職前
CAD電腦製圖與2D圖面拆解實務班第01期,彰化縣員林市靜修路55號,2022/08/22,2022/09/22,在職
數位行銷影音廣告設計與投放培訓班 第-期,彰化縣,2022/08/22,2022/10/07,職前
觀光日文基礎班第01期,彰化縣彰化市民族路267號4樓,2022/08/21,2022/09/21,在職
觀光生活日語入門會話班第02期,彰化縣員林市林森路249巷13號2樓之2,2022/08/21,2022/10/26,在職
金融市場投資理財實務班第02期,彰化縣大村鄉山腳路88-25號,2022/08/20,2022/09/20,在職
圖像視覺暨編修應用設計班第02期,彰化縣彰化市中正路２段75號,2022/08/20,2022/09/20,在職
服裝打版製作訓練班第02期,彰化縣彰化市南郭路１段339號,2022/08/18,2022/09/18,在職
服飾裁剪打版實務班第01期,彰化縣彰化市新平路146號3樓,2022/08/18,2022/09/18,在職
西式排餐料理製作實務班第02期,彰化縣鹿港鎮永寧街235號3樓.,2022/08/18,2022/09/18,在職
咖啡飲料調製技能班第02期,彰化縣彰化市三福街221巷14號2樓,2022/08/18,2022/09/18,在職
古早味小吃訓練班第01期,彰化縣彰化市安平街3號1樓,2022/08/16,2022/09/16,在職
綠色生活清潔產品製作班第02期,彰化縣彰化市南郭路１段339號,2022/08/16,2022/10/29,在職
多益暨國際文化商用會話英文實務班第02期,彰化縣彰化市民族路209號6樓,2022/08/15,2022/09/15,在職
花式美甲藝術水彩彩繪創意粉雕設計班第01期,彰化縣員林市莒光路752號六樓,2022/08/15,2022/09/15,在職
室內裝修工程管理實務班第01期,彰化縣大村鄉山腳路88-25號,2022/08/15,2022/09/18,在職
私房宴客料理班第01期,彰化縣彰化市安平街3號1樓,2022/08/15,2022/09/15,在職
西裝套裝製作班第01期,彰化縣彰化市新平路146號3樓,2022/08/14,2022/09/14,在職
GOOGLE表單製作與辦公室文書資料整合應用實務班第01期,彰化縣員林市靜修路55號,2022/08/14,2022/09/14,在職
陰陽宅堪輿應用實務班第01期,彰化縣彰化市新平路146號2樓,2022/08/13,2022/09/13,在職
多肉景觀植栽進階班第01期,彰化縣彰化市西興東路125號,2022/08/12,2022/09/12,在職
創意傢飾彩繪應用班第02期,彰化縣彰化市自強南路22巷8號,2022/08/12,2022/09/12,在職
手工皂製作及品牌包裝行銷班第01期,彰化縣彰化市西興東路125號,2022/08/08,2022/09/08,在職
line@數位行銷實務班第01期,彰化縣大村鄉學府路168號,2022/08/08,2022/09/08,在職
創意口金皮革實務班第01期,彰化縣彰化市平和十街38號,2022/08/07,2022/09/07,在職
經典烘焙實務班第01期,彰化縣彰化市西興東路125號,2022/08/07,2022/09/07,在職
日式餐桌料理班第01期,彰化縣彰化市安平街3號1樓,2022/08/07,2022/09/07,在職
珠寶翡翠鑑定訓練班第02期,彰化縣彰化市南郭路１段339號,2022/08/07,2022/09/07,在職
國標舞狐步及快三步舞蹈技能訓練班第01期,彰化縣彰化市中央路184號3樓-1,2022/08/07,2022/09/07,在職
韓食料理實作班第01期,彰化縣彰化市安平街3號1樓,2022/08/06,2022/09/06,在職
手工皂及保養品製作訓練班第02期,彰化縣彰化市卦山路5號,2022/08/06,2022/09/06,在職
單人國標舞蹈班第01期,彰化縣彰化市中央路184號3樓之5,2022/08/06,2022/09/06,在職
適能筋絡瑜珈實務進階班第03期,彰化縣大村鄉山腳路88-25號,2022/08/06,2022/09/06,在職
實用拼布進階班第01期,彰化縣彰化市中央路15號3樓,2022/08/05,2022/09/05,在職
餐廳美食料理班第01期,彰化縣彰化市安平街3號1樓,2022/08/05,2022/09/19,在職
藥膳料理實務班第01期,彰化縣彰化市西興東路125號,2022/08/05,2022/09/05,在職
TTQS訓練機構版指標課程班第01期,彰化縣埤頭鄉文化路369號明道大學開悟大樓3樓311教室,2022/08/05,2022/11/10,在職
學童裁縫用品實務班第01期,彰化縣彰化市南郭路一段339號,2022/08/04,2022/09/03,在職
傳統整復推拿業務訓練班第01期,彰化縣彰化市中山路３段220號2F,2022/08/04,2022/09/04,在職
新世代專案管理訓練班第02期,彰化縣彰化市城中北街11號,2022/08/04,2022/09/04,在職
混合材質皮雕袋物製作訓練班第02期,彰化縣彰化市卦山路5號,2022/08/04,2022/08/28,在職
打造品牌聲量YouTube社群影音製作實作訓練班第02期,彰化縣彰化市民族路209號6樓,2022/08/03,2022/09/03,在職
Solidworks 3D繪圖應用實務班第02期,彰化縣彰化市介壽北路1號,2022/08/03,2022/10/01,在職
台灣小吃烹飪技能班第01期,彰化縣大村鄉學府路168號,2022/08/03,2022/09/03,在職
無人機產業解析應用初階班第01期,彰化縣彰化市城中北街11號,2022/08/03,2022/09/03,在職
西點蛋糕麵包實務班第02期,彰化縣鹿港鎮永寧街235號3樓.,2022/08/03,2022/08/21,在職
食物製備技能班第02期,彰化縣彰化市安平街3號1樓,2022/08/02,2022/08/22,在職
手工皂保養品進階班第01期,彰化縣彰化市新平路146號3樓,2022/08/02,2022/08/23,在職
陌生業務開發技巧訓練班第02期,彰化縣彰化市民族路209號6樓,2022/08/02,2022/09/02,在職
中式點心烘焙班第01期,彰化縣彰化市安平街3號2樓,2022/08/02,2022/09/02,在職
摩登舞蹈訓練班第02期,彰化縣員林市浮圳路１段365巷56弄36號,2022/08/02,2022/08/23,在職
行動美容與用品器材操作進階班第02期,彰化縣和美鎮新庄里東發路100巷36之1號,2022/08/01,2022/08/20,在職
實用英文會話實務班第01期,彰化縣彰化市民族路267號4樓,2022/08/01,2022/09/01,在職
髮型設計-中階課程班第01期,彰化縣彰化市中央路15號,2022/08/01,2022/09/01,在職
地中海料理實務班第02期,彰化縣鹿港鎮永寧街235號3樓,2022/08/01,2022/08/20,在職
幸福點心烘焙班第01期,彰化縣彰化市安平街3號2F,2022/07/31,2022/08/31,在職
法式甜點實作班第01期,彰化縣彰化市安平街3號2樓,2022/07/31,2022/08/31,在職
工業機件製圖與3D列印實務班第02期,彰化縣彰化市中正路２段75號,2022/07/31,2022/08/31,在職
專業內部講師職能培訓班第02期,彰化縣彰化市民族路209號6樓,2022/07/30,2022/08/30,在職
稅務帳務處理及申報實務班第02期,彰化縣彰化市民族路209號6樓,2022/07/30,2022/09/13,在職
西點蛋糕技能班第02期,彰化縣彰化市安平街3號2樓,2022/07/30,2022/08/30,在職
主題式造型氣球應用班第02期,彰化縣彰化市南郭路一段339號,2022/07/30,2022/08/30,在職
居家水電維修實務班第05期,彰化縣彰化市城中北街11號,2022/07/30,2022/08/26,在職
國標舞森巴及捷舞舞蹈訓練班第01期,彰化縣員林市莒光路752號5樓,2022/07/30,2022/08/16,在職
職場商用英語會話班第01期,彰化縣員林市林森路249巷13號2樓之2,2022/07/30,2022/09/27,在職
無人飛行載具智慧應用專業人才養成班,彰化縣埤頭鄉文化路369號,2022/07/30,2022/10/17,青年
移地訓練-手感人氣烘焙實務班(勞動學苑) 第03期,彰化縣,2022/07/29,2022/10/03,職前
果凍花藝術創作訓練班第02期,彰化縣彰化市南郭路１段339號,2022/07/29,2022/08/29,在職
異國風味麵包班第01期,彰化縣彰化市安平街3號,2022/07/29,2022/08/29,在職
進階社交舞花步訓練班第01期,彰化縣員林市莒光路752號5樓,2022/07/29,2022/08/15,在職
美髮技能實務進階班第02期,彰化縣和美鎮新庄里東發路100巷36之1號,2022/07/29,2022/08/14,在職
流行律動舞蹈班第01期,彰化縣彰化市中央路184號3樓之5,2022/07/29,2022/08/29,在職
手工拼布實務班第01期,彰化縣彰化市新平路146號2樓,2022/07/29,2022/08/29,在職
基礎烘焙實務班第02期,彰化縣鹿港鎮永寧街235號3樓.,2022/07/27,2022/08/13,在職
爆汗有氧及瑜珈訓練班第02期,彰化縣員林市莒光路752號5樓,2022/07/27,2022/08/12,在職
本土特色產業文創彩繪進階班第09期,彰化縣彰化市城中北街11號,2022/07/27,2022/08/25,在職
歐風天然酵母麵包實務班第01期,彰化縣彰化市西興東路125號,2022/07/27,2022/08/27,在職
禪繞畫美學繪圖實務班第01期,彰化縣彰化市卦山路5號2樓,2022/07/27,2022/08/13,在職
恰恰舞蹈訓練班第01期,彰化縣員林市浮圳路１段365巷56弄36號,2022/07/25,2022/08/24,在職
無人機組裝暨遙控飛行訓練班第01期,彰化縣彰化市卦山路18號,2022/07/25,2022/07/31,在職
移地訓練-產品製圖設計暨3D列印應用班A班(勞動學苑) 第01期,彰化縣,2022/07/25,2022/10/18,職前
中餐烹調技能班第02期,彰化縣彰化市三福街221巷12號1樓,2022/07/25,2022/08/25,在職
居家水電維修實務班第05期,彰化縣彰化市城中北街11號,2022/07/19,2022/08/17,在職
商品攝影與網拍修圖實務班第01期,彰化縣,2022/07/15,2022/10/15,在職
電腦輔助機件繪圖與模型積層製造實務班 第-期,彰化縣,2022/07/11,2022/10/27,職前
平面廣告與品牌識別設計班 第-期,彰化縣,2022/07/08,2022/09/20,職前
照服員職前甲班(彰化紅十字) 第01期,彰化縣,2022/07/01,2022/09/12,職前
工業PLC虛實整合人才養成班,彰化縣彰化市介壽北路1號（建國科技大學）,2022/06/28,2022/11/21,青年
鞋業智能應用暨製造技術人才培訓班 第01期,彰化縣,2022/06/23,2022/10/19,職前
創意點心暨飲品調製實務班 第-期,彰化縣,2022/06/22,2022/08/25,職前
西點烘焙暨午茶輕食技術培訓班 第-期,彰化縣,2022/06/20,2022/08/10,職前
寵物經濟-毛小孩衣物打版及飾品配件製作班 第-期,彰化縣,2022/06/20,2022/08/22,職前
雲端OFFICE與手機APP工作術實務班(勞動學苑) 第03期,彰化縣,2022/06/17,2022/09/07,職前
室內設計實務班(勞動學苑) 第03期,彰化縣,2022/06/17,2022/09/07,職前
工業電腦繪圖與3D列印實務班 第-期,彰化縣,2022/06/15,2022/07/26,職前
自駕車、電動車及複合動力車維修保養實務班第01期,彰化縣彰化市介壽北路1號,2022/06/10,2022/07/10,在職
人工智慧深度學習創新應用班第01期,彰化縣彰化市介壽北路1號,2022/06/09,2022/08/13,在職
CIS企業識別規劃與商品影像設計實務班 第-期,彰化縣,2022/06/08,2022/08/08,職前
電動二輪車實務班第01期,彰化縣彰化市城中北街11號,2022/06/03,2022/07/03,在職
廣告影片暨視覺設計與商業攝影行銷班 第-期,彰化縣,2022/06/02,2022/08/11,職前
工業產品實體建構與3D列印打樣實務班 第-期,彰化縣,2022/06/01,2022/09/15,職前
照服員職前班(埤頭伯立歐)照服員職前班(埤頭伯立歐) 第01期,彰化縣,2022/06/01,2022/08/13,職前
電腦輔助機械製圖進階班(SolidWorks)第01期,彰化縣,2022/06/01,2022/09/17,在職
影音錄製與視訊剪輯實務班第01期,彰化縣員林市靜修路55號,2022/05/30,2022/06/30,在職
品牌形象暨平面廣告設計班第01期,彰化縣彰化市中正路二段75號,2022/05/27,2022/06/27,在職
創意手作烘焙實務班(獎勵計畫) 第01期,彰化縣,2022/05/27,2022/07/25,職前
創新商品開發流程實戰班第02期,彰化縣員林市林森路249巷13號2樓之2,2022/05/25,2022/06/25,在職
網路行銷與電子商務人才養成班 第01期,彰化縣,2022/05/20,2022/07/22,職前
AI人工智慧室內設計班第01期,彰化縣彰化市介壽北路1號,2022/05/19,2022/06/19,在職
電腦輔助機械製圖進階班(SolidWorks)第01期,彰化縣,2022/05/15,2022/08/09,在職
創意手作鞋中階訓練班第01期,彰化縣彰化市卦山路5號,2022/05/14,2022/06/14,在職
工業產品3D實體建構設計與開發打樣實務班第01期,彰化縣員林市靜修路55號,2022/05/13,2022/06/22,在職
數位行銷與雲端商務職場運用班第01期,彰化縣彰化市城中北街11號,2022/05/12,2022/06/12,在職
職場軟實力訓練班第01期,彰化縣彰化市民族路267號3樓,2022/05/10,2022/06/17,在職
照服員職前2班(二林慈恩) 第01期,彰化縣,2022/05/10,2022/08/01,職前
商業會計法及證交法投資人實務班第01期,彰化縣彰化市民族路209號6樓,2022/05/08,2022/06/08,在職
機件製圖暨3D列印應用實作班第01期,彰化縣彰化市中正路２段75號,2022/05/07,2022/06/16,在職
照服員在職甲班(員林家樂福) 第01期,彰化縣,2022/05/02,2022/05/28,職前
單人國標拉丁舞訓練班第01期,彰化縣員林市莒光路752號5樓,2022/05/01,2022/06/01,在職
ISO9001品質管理訓練班第01期,彰化縣,2022/05/01,2022/08/13,在職
職場新多益進擊班第01期,彰化縣彰化市民族路267號4樓,2022/04/30,2022/05/30,在職
國際貿易操作人員實務初階訓練班第01期,彰化縣彰化市民族路209號6樓,2022/04/28,2022/05/28,在職
移地訓練－經典烘焙暨行銷培訓班(勞動學苑) 第02期,彰化縣,2022/04/27,2022/08/29,職前
移地訓練-Solidworks產品設計整合3D列印訓練 第01期,彰化縣,2022/04/26,2022/07/04,職前
移地訓練-AI技術應用工程師 第01期,彰化縣,2022/04/26,2022/07/04,職前
移地訓練- BIM建模設計及技術實務養成班 第01期,彰化縣,2022/04/26,2022/07/04,職前
職場Office與Google雲端應用實務班第01期,彰化縣和美鎮道周路468號,2022/04/25,2022/05/25,在職
照服員職前B班(員林中州) 第01期,彰化縣,2022/04/25,2022/06/20,職前
社交舞花步舞蹈訓練班第01期,彰化縣員林市莒光路752號5樓,2022/04/24,2022/05/24,在職
PMP專案管理流程實務班第01期,彰化縣彰化市民族路209號7樓,2022/04/22,2022/05/22,在職
大貨車駕駛訓練班 第01期,彰化縣,2022/04/22,2022/09/12,職前
職場情境英文進階會話班第01期,彰化縣彰化市民族路267號4樓,2022/04/18,2022/05/19,在職
社群經營暨品牌貼圖設計班第01期,彰化縣彰化市中正路２段75號,2022/04/17,2022/05/17,在職
勞動法令與實務案例解析班第01期,彰化縣彰化市民族路209號7樓,2022/04/15,2022/05/15,在職
花卉主題皮雕袋物設計進階班第01期,彰化縣彰化市卦山路5號,2022/04/15,2022/05/15,在職
傳統整復推拿實務班第02期,彰化縣彰化市中山路３段220號2F,2022/04/15,2022/05/15,在職
電動車與油電混合車維修保養實務班第02期,彰化縣彰化市介壽北路1號,2022/04/15,2022/05/15,在職
機車、電動車暨噴射引擎維修及職場實務訓練班 第01期,彰化縣,2022/04/15,2022/09/21,職前
鞋業廠務管理人才培訓班第01期,(503)彰化縣花壇鄉中山路２段459號,2022/04/15,2022/07/26,青年
RWD響應式網頁設計班第01期,彰化縣,2022/04/15,2022/07/12,在職
綠色生活清潔產品製作班第01期,彰化縣彰化市南郭路１段339號,2022/04/14,2022/06/18,在職
企業財務與帳務管理實務班第01期,彰化縣彰化市民族路209號6樓,2022/04/14,2022/05/14,在職
修身經典格紋外套實作班第01期,彰化縣員林市林森路231巷8號1樓,2022/04/07,2022/05/07,在職
國標舞華爾滋及快四步舞蹈技能訓練班第01期,彰化縣彰化市中央路184號3樓-1,2022/04/04,2022/05/04,在職
觀光生活日語入門會話班第01期,彰化縣員林市林森路249巷13號2樓之2,2022/04/04,2022/05/04,在職
宅經濟複合餐飲小吃暨包裝行銷培訓班(勞動學苑) 第01期,彰化縣,2022/04/01,2022/07/01,職前
中餐料理暨地方小吃烹飪訓練班 第01期,彰化縣,2022/04/01,2022/06/23,職前
托育人員專業訓練課程乙班(彰化員林-假日班) 第01期,彰化縣,2022/04/01,2022/05/28,職前
電腦輔助機械製圖班(AutoCAD)第01期,彰化縣,2022/04/01,2022/07/09,在職
服裝打版縫紉技能班第01期,彰化縣,2022/04/01,2022/07/02,在職
商業廣告與企業品牌識別設計人才培訓班 第01期,彰化縣,2022/03/31,2022/09/14,職前
電腦輔助機械製圖班(勞動學苑) 第2期,彰化縣,2022/03/31,2022/05/30,職前
網頁設計及數位影像處理班(勞動學苑) 第2期,彰化縣,2022/03/31,2022/05/30,職前
網路行銷企劃與網拍經營培訓班 第01期,彰化縣,2022/03/30,2022/07/19,職前
CNC數值控制暨程式設計班 第01期,彰化縣,2022/03/30,2022/07/20,職前
照服員在職班(二林大愛) 第01期,彰化縣,2022/03/29,2022/08/27,職前
剪髮實務班第01期,彰化縣彰化市中央路15號,2022/03/28,2022/04/28,在職
烘焙麵包技能班第01期,彰化縣彰化市安平街3號2樓,2022/03/28,2022/04/28,在職
在地農產加工暨行銷實務班 第01期,彰化縣,2022/03/28,2022/08/03,職前
照服員職前C班(花壇博揚) 第-期,彰化縣,2022/03/28,2022/10/04,職前
辦公室軟體與雲端應用實務班第01期,彰化縣彰化市中正路２段75號3樓,2022/03/27,2022/04/27,在職
跨文化溝通英文進階會話班第01期,彰化縣彰化市民族路267號4樓,2022/03/26,2022/05/10,在職
社群經營暨人氣網紅養成班 第01期,彰化縣,2022/03/25,2022/08/02,職前
AI智慧機械手臂設計與3D列印實務班 第01期,彰化縣,2022/03/24,2022/08/30,職前
低碳綠能蔬食料理培訓班 第01期,彰化縣,2022/03/24,2022/06/29,職前
智慧節能水電技術培訓班 第--期,彰化縣,2022/03/24,2022/06/27,職前
無人機組裝暨遙控飛行訓練班第02期,彰化縣彰化市卦山路18號5-13棟,2022/03/23,2022/04/23,在職
麵包西點蛋糕基礎實務班第01期,彰化縣鹿港鎮永寧街235號3樓,2022/03/23,2022/04/23,在職
全方位美甲美睫美妝設計實務班 第01期,彰化縣,2022/03/23,2022/06/22,職前
咖啡風味、雕花（拉花）班第01期,彰化縣彰化市南郭路１段339號,2022/03/22,2022/04/22,在職
服飾裁剪打版實務班第01期,彰化縣彰化市新平路146號3樓,2022/03/21,2022/04/10,在職
照服員職前B班(彰化切膚之愛) 第01期,彰化縣,2022/03/21,2022/07/04,職前
照服員職前A班(彰化切膚之愛) 第01期,彰化縣,2022/03/21,2022/04/18,職前
西點烘焙暨飲品職人培訓班 第01期,彰化縣,2022/03/21,2022/04/20,職前
電腦美工繪圖與CIS雷雕應用設計實務班第01期,彰化縣員林市靜修路55號,2022/03/20,2022/05/09,在職
工業產品設計電腦繪圖應用班第01期,彰化縣和美鎮道周路468號,2022/03/19,2022/04/19,在職
照服員職前4班(彰化白玉) 第01期,彰化縣,2022/03/18,2022/08/01,職前
照服員職前3班(員林白玉) 第01期,彰化縣,2022/03/18,2022/07/04,職前
照服員職前2班(員林白玉) 第01期,彰化縣,2022/03/18,2022/05/23,職前
照服員在職6班(員林白玉) 第01期,彰化縣,2022/03/18,2022/05/07,職前
基層幹部管理六力強化訓練班第01期,彰化縣彰化市民族路209號6樓,2022/03/16,2022/04/16,在職
坐月子服務及養生調理膳食培訓班 第01期,彰化縣,2022/03/16,2022/08/23,職前
平面設計技能班(Illustrator)第01期,彰化縣,2022/03/15,2022/06/11,在職
珠寶翡翠鑑定訓練班第01期,彰化縣彰化市南郭路１段339號,2022/03/13,2022/04/13,在職
英文閱讀聽力訓練實務基礎班第01期,彰化縣員林市林森路249巷13號2樓之2,2022/03/12,2022/04/12,在職
異材皮件製作實務班第01期,彰化縣彰化市平和十街38號,2022/03/12,2022/04/12,在職
手創彩繪拼貼家飾技能進階班第01期,彰化縣彰化市卦山路五號,2022/03/12,2022/04/12,在職
美容撥筋保養暨專業美睫職場應用實務班第01期,彰化縣員林市莒光路752號六樓,2022/03/12,2022/04/12,在職
3D藝術果凍花製作訓練班第01期,彰化縣彰化市南郭路１段339號,2022/03/11,2022/04/11,在職
創意傢飾彩繪應用班第01期,彰化縣彰化市自強南路22巷8號,2022/03/11,2022/04/11,在職
在地特色烘焙飲調技能訓練班 第-期,彰化縣,2022/03/11,2022/05/02,職前
新世代專案管理訓練班第01期,彰化縣彰化市城中北街11號,2022/03/10,2022/04/10,在職
園藝栽培養護與創作實務班第01期,彰化縣田尾鄉福德巷343號,2022/03/10,2022/04/17,在職
照服員職前乙班(員林家樂福) 第01期,彰化縣,2022/03/10,2022/04/11,職前
照服員職前班(二林大愛) 第01期,彰化縣,2022/03/10,2022/04/11,職前
可愛兒童服飾造形創作班第02期,彰化縣彰化市南郭路一段339號,2022/03/09,2022/04/17,在職
照服員職前4班(彰化白玉) 第01期,彰化縣,2022/03/18,2022/08/01,職前
照服員職前3班(員林白玉) 第01期,彰化縣,2022/03/18,2022/07/04,職前
照服員職前2班(員林白玉) 第01期,彰化縣,2022/03/18,2022/05/23,職前
照服員在職6班(員林白玉) 第01期,彰化縣,2022/03/18,2022/05/07,職前
基層幹部管理六力強化訓練班第01期,彰化縣彰化市民族路209號6樓,2022/03/16,2022/04/16,在職
坐月子服務及養生調理膳食培訓班 第01期,彰化縣,2022/03/16,2022/08/23,職前
平面設計技能班(Illustrator)第01期,彰化縣,2022/03/15,2022/06/11,在職
珠寶翡翠鑑定訓練班第01期,彰化縣彰化市南郭路１段339號,2022/03/13,2022/04/13,在職
英文閱讀聽力訓練實務基礎班第01期,彰化縣員林市林森路249巷13號2樓之2,2022/03/12,2022/04/12,在職
異材皮件製作實務班第01期,彰化縣彰化市平和十街38號,2022/03/12,2022/04/12,在職
手創彩繪拼貼家飾技能進階班第01期,彰化縣彰化市卦山路五號,2022/03/12,2022/04/12,在職
美容撥筋保養暨專業美睫職場應用實務班第01期,彰化縣員林市莒光路752號六樓,2022/03/12,2022/04/12,在職
