課程名稱,上課地點,開放報名,開課日期,性質
地方創生國際行銷企劃應用,臺東縣台東市中華路一段684號,2021/06/15,2021/08/04,青年
綠能車輛產業經營與維修人才培訓班,臺東縣台東市正氣北路911號,2021/06/14,2022/06/29,青年
綠建築智慧生活空間設計與應用實務人才培訓班,臺東縣台東市正氣北路911號,2021/06/14,2022/06/27,青年
地方風味餐飲及農特產品加工實務班 第01期,臺東縣,2021/06/02,2021/08/16,職前
食品烘焙糕點製作班 第01期,臺東縣,2021/05/10,2021/10/12,職前
西餐料理訓練班 第01期,臺東縣,2021/05/10,2021/10/20,職前
110年度BS21托育人員職前平日班 第01期,臺東縣,2021/04/26,2021/06/15,職前
地方文化體驗暨導覽人員解說班 第01期,臺東縣,2021/04/13,2021/10/04,職前
多元布藝打版設計與時尚風編織培訓班 第01期,臺東縣,2021/04/12,2021/10/25,職前
管家服務達人培訓班 第01期,臺東縣,2021/04/06,2021/09/13,職前
原鄉複合媒材手工藝製作班(原住民專班) 第01期,臺東縣,2021/02/27,2021/09/27,職前
美甲美睫造型培訓班 第01期,臺東縣,2021/02/22,2021/07/26,職前
原民流行織品實作班(原住民專班) 第01期,臺東縣,2021/02/19,2021/11/08,職前
銀髮膳食養生訓練班 第01期,臺東縣,2020/11/02,2020/12/21,職前
數位行銷分析整合應用班 第01期,臺東縣,2020/10/30,2020/11/30,職前
旅遊顧問培訓班 第01期,臺東縣,2020/10/01,2020/11/23,職前
原鄉手作西點暨養生料理人員培訓班(原住民專班) 第01期,臺東縣,2020/08/03,2020/08/31,職前
TE03照顧服務員訓練(職前平日)班 第2期,臺東縣,2020/07/13,2020/08/24,職前
美容美髮整體造型設計班(原住民專班) 第01期,臺東縣,2020/06/16,2020/08/31,職前
中餐烹調廚藝訓練班 第01期,臺東縣,2020/06/01,2020/08/17,職前
原民文創商品人才培訓班(原住民專班) 第01期,臺東縣,2020/05/28,2020/07/06,職前
原鄉烘焙食品伴手禮製作班(原住民專班) 第01期,臺東縣,2020/05/27,2020/07/27,職前
管家服務人才訓練班 第01期,臺東縣,2020/05/25,2020/07/27,職前
中西式食品烘焙製作班 第01期,臺東縣,2020/05/15,2020/08/10,職前
營建泥水砌磚技術人才培訓班 第01期,臺東縣,2020/04/27,2020/07/30,職前
BS21托育人員職前平日班 第01期,臺東縣,2020/04/26,2020/06/22,職前
時尚美容美髮造型設計暨美甲彩繪人才培訓班 第01期,臺東縣,2020/04/14,2020/07/02,職前
提升餐飲從業人員品質管理班 第01期,臺東縣,2020/04/13,2020/06/08,職前
烘焙及證照技術培訓班 第01期,臺東縣,2020/03/24,2020/05/19,職前
月子媽媽人才培訓班（縱谷線） 第01期,臺東縣,2020/03/16,2020/05/25,職前
婚禮顧問培訓班 第01期,臺東縣,2020/03/11,2020/04/21,職前
原鄉皮件及縫紉特色商品製作班(原住民專班) 第01期,臺東縣,2020/03/05,2020/05/18,職前
西式餐飲烹調製作班（市區） 第01期,臺東縣,2020/03/02,2020/05/11,職前
素食餐飲烹調製作班（台11線專班） 第01期,臺東縣,2020/03/02,2020/04/27,職前
在地民宿經營與特色餐飲料理實務班(原住民專班) 第01期,臺東縣,2020/03/02,2020/06/22,職前
農藝造園與休閒生態旅遊實務班(原住民專班) 第01期,臺東縣,2020/03/02,2020/06/15,職前
旅遊及在地食材創意料理烹飪班(市區) 第01期,臺東縣,2020/02/27,2020/03/24,職前
原民手工藝人才培訓班(原住民專班) 第01期,臺東縣,2020/02/20,2020/03/23,職前
原鄉茶與陶藝人才培訓班(原住民專班) 第01期,臺東縣,2020/02/20,2020/06/08,職前
市集手作商品設計銷售人員培訓班 第01期,臺東縣,2020/02/19,2020/04/07,職前
金工銀飾設計暨商業行銷人員培訓班 第01期,臺東縣,2020/02/19,2020/03/31,職前
室內電路配線技能檢定技術班 第01期,臺東縣,2020/02/13,2020/03/10,職前
水電配線技術暨泥水砌磚人員培訓班 第01期,臺東縣,2020/02/11,2020/03/16,職前
西式糕點烘焙製作班（南迴線） 第01期,臺東縣,2020/02/10,2020/04/13,職前
TE02照顧服務員職前訓練專班 第01期,臺東縣,2020/02/07,2020/04/06,職前
TT01照顧服務員職前訓練自訓自用 第01期,臺東縣,2020/02/01,2020/04/11,職前
TE01照顧服務員訓練(職前平日)班 第01期,臺東縣,2020/01/06,2020/02/17,職前
不動產經紀實務班 第01期,臺東縣,2019/11/14,2019/12/09,職前
財務金融管理實務培訓班 第01期,臺東縣,2019/11/08,2019/12/02,職前
農作物與園藝栽培實作班 第01期,臺東縣,2019/09/30,2019/11/11,職前
銀髮族養生照護料理訓練班 第01期,臺東縣,2019/09/16,2019/11/18,職前
月子媽媽人才培訓班（台東市區） 第01期,臺東縣,2019/08/28,2019/10/28,職前
農業技術人才培訓班 第01期,臺東縣,2019/08/26,2019/09/24,職前
TE03照顧服務員訓練(職前平日)班 第02期,臺東縣,2019/08/01,2019/09/09,職前
剪髮及髮藝造型技術班 第01期,臺東縣,2019/08/01,2019/09/09,職前
烘焙食品訓練班 第01期,臺東縣,2019/07/02,2019/07/09,職前
創意銀飾加工行銷暨展店實務班 第01期,臺東縣,2019/06/24,2019/07/17,職前
新娘秘書培訓班(台東市區) 第01期,臺東縣,2019/06/03,2019/07/01,職前
鉤針編織及植物染文創技術培訓班 第01期,臺東縣,2019/05/29,2019/06/25,職前
蔬果切雕及餐食技能創業班 第01期,臺東縣,2019/05/27,2019/08/19,職前
原鄉安膳月子餐製作人員培訓班 第01期,臺東縣,2019/05/27,2019/07/29,職前
原住民傳統藝品創新班(台11線專班) 第01期,臺東縣,2019/05/27,2019/07/15,職前
辦公室電腦技能與行銷應用班 第01期,臺東縣,2019/05/24,2019/06/26,職前
西式餐飲烹調製作班(台東市區) 第01期,臺東縣,2019/05/15,2019/07/15,職前
原鄉在地料理暨烘焙班(南迴線專班) 第01期,臺東縣,2019/05/15,2019/07/10,職前
室內電路配線技術人才訓練班 第01期,臺東縣,2019/04/29,2019/06/11,職前
健康烘焙產品人才培訓班 第01期,臺東縣,2019/04/22,2019/06/27,職前
管家服務人員培訓班 第01期,臺東縣,2019/04/10,2019/05/20,職前
創意巧烹宴席料理進階訓練班 第01期,臺東縣,2019/04/08,2019/05/29,職前
原鄉文化產業創新班 第01期,臺東縣,2019/04/02,2019/05/06,職前
原住民陶藝產業創新班 第01期,臺東縣,2019/04/01,2019/05/07,職前
創意傢俱木工手作實務班 第01期,臺東縣,2019/03/27,2019/06/03,職前
中小企業資訊技能應用班 第01期,臺東縣,2019/03/18,2019/04/18,職前
創意生活手作班 第01期,臺東縣,2019/03/18,2019/04/15,職前
革與布創意手作拼布班 第01期,臺東縣,2019/03/18,2019/05/20,職前
服飾創意設計打版縫紉班 第01期,臺東縣,2019/03/11,2019/04/22,職前
銀飾飾品加工暨行銷展店人員培訓班 第01期,臺東縣,2019/03/11,2019/04/22,職前
室內水電、泥作施工、維修技術人員培訓班 第01期,臺東縣,2019/03/01,2019/04/08,職前
電路配線技術培訓班 第01期,臺東縣,2019/02/26,2019/03/19,職前
TE01照顧服務員訓練(職前平日)班 第01期,臺東縣,2019/02/01,2019/03/18,職前
TE02照顧服務員職前訓練專班 第01期,臺東縣,2019/02/01,2019/08/05,職前
TT01照顧服務員職前訓練自訓自用 第01期,臺東縣,2019/02/01,2019/03/06,職前
新世代數位架站工程師就業養成班,臺東縣台東市台東縣大同路128號,,2020/04/07,青年
