課程名稱,上課地點,開放報名,開課日期,性質
冷凍空調裝修(基隆) 第02期,基隆市,2022/05/16,2022/09/19,職前
園藝景觀暨小品盆栽設計製作班第01期,基隆市七堵區南興路37號3樓,2022/05/12,2022/06/12,在職
專業咖啡暨時尚輕食料理與精緻烘焙甜品培訓班 第01期,基隆市,2022/05/11,2022/07/04,職前
銲接(基隆) 第02期,基隆市,2022/05/01,2022/11/03,職前
珠寶飾品設計與製作(基隆) 第03期,基隆市,2022/05/01,2022/09/12,職前
美甲彩繪凝膠班第02期,基隆市仁愛區愛四路28巷6號2樓,2022/04/28,2022/05/28,在職
美甲凝膠進階設計彩繪實務班,基隆市仁愛區孝二路39號718室,2022/04/19,2022/06/23,在職
複合型飲調輕食與行銷社群經營班(B班) 第01期,基隆市,2022/04/18,2022/09/01,職前
複合型飲調輕食與行銷社群經營班(A班) 第01期,基隆市,2022/04/18,2022/06/06,職前
男士理髮基礎實務班,基隆市仁愛區孝二路39號718室,2022/04/17,2022/06/14,在職
專業訓練人員職能運用訓練進階班第01期,基隆市仁愛區愛三路37號7樓,2022/04/17,2022/05/17,在職
天然精緻手作烘焙甜品班第01期,基隆市仁愛區愛三路9號4樓之5,2022/04/14,2022/05/14,在職
地方小吃培訓班 第01期,基隆市,2022/04/12,2022/06/13,職前
空間設計實務班 第01期,基隆市,2022/04/12,2022/08/29,職前
多媒體文創貼圖設計班 第01期,基隆市,2022/04/12,2022/06/30,職前
SolidWorks立體製圖(假日班)(六堵訓練教室)第01期,基隆市,2022/04/11,2022/07/09,在職
珠寶琺瑯(假日班)(基隆)第01期,基隆市,2022/04/10,2022/07/17,在職
人資法務實務因應進階訓練班第02期,基隆市仁愛區愛三路9號7樓之2,2022/04/08,2022/05/08,在職
社群自媒體行銷與影像創作班第01期,基隆市仁愛區愛三路37號7樓,2022/04/08,2022/05/08,在職
立領洋裝與造型荷葉外套打版車縫製作班第01期,基隆市仁愛區愛三路37號7樓,2022/04/07,2022/05/14,在職
髮型設計師職能培訓班 第01期,基隆市,2022/04/06,2022/05/23,職前
冷凍空調裝修(基隆) 第03期,基隆市,2022/04/06,2022/05/23,職前
文化皮革實作班,基隆市安樂區安和一街2巷12之1號2樓,2022/04/05,2022/05/05,在職
半自動電銲(假日班)(基隆)第01期,基隆市,2022/04/01,2022/08/28,在職
傳統整復推拿與腳底按摩就業輔導班 第01期,基隆市,2022/04/01,2022/05/03,職前
手作文創商品設計實作班第06期,基隆市七堵區南興路37號3樓,2022/03/30,2022/04/30,在職
電腦數值控制機械(CNC)(基隆) 第02期,基隆市,2022/03/30,2022/07/26,職前
寶石編織飾品實作班,基隆市仁愛區愛四路48號8樓之2,2022/03/22,2022/05/06,在職
中藥漢方天然清潔用品製作班第04期,基隆市七堵區南興路37號3樓,2022/03/19,2022/04/18,在職
辦公室數位行銷(六堵訓練教室) 第01期,基隆市,2022/03/15,2022/08/15,職前
行動美甲美睫技能班第01期第01期,基隆市仁愛區孝二路39號4樓,2022/03/14,2022/06/22,在職
錫雕押花設計班第01期,基隆市仁愛區孝二路39號4樓,2022/03/13,2022/04/12,在職
創作果凍花點心實作班第01期,基隆市安樂區安和一街2巷12之1號2樓,2022/03/12,2022/04/11,在職
單人倫巴舞蹈訓練班第01期,基隆市仁愛區光一路28號,2022/03/12,2022/04/11,在職
專業坐月子服務管理人員培訓班第01期,基隆市仁愛區愛三路37號7樓,2022/03/11,2022/04/10,在職
和諧粉彩藝術指導準師進階班第01期,基隆市仁愛區愛三路37號7樓,2022/03/11,2022/04/10,在職
和諧粉彩藝術指導員培訓班第01期,基隆市仁愛區愛三路37號7樓,2022/03/11,2022/04/11,在職
和諧粉彩藝術指導員進階班第01期,基隆市仁愛區愛三路37號7樓,2022/03/11,2022/04/10,在職
異國料理實務技能班第01期,基隆市中山區復興路313號3樓,2022/03/10,2022/06/18,在職
雙人森巴舞蹈訓練班第01期,基隆市仁愛區光一路28號,2022/03/02,2022/04/01,在職
氬氣鎢極電銲(基隆) 第01期,基隆市,2022/03/01,2022/07/11,職前
多肉植物創作班第01期,基隆市安樂區安和一街2巷12之1號2樓,2022/02/27,2022/03/29,在職
都會經典服裝打版應用班第01期,基隆市仁愛區孝二路39號4樓,2022/02/26,2022/03/26,在職
文創皮革實作班第01期,基隆市安樂區安和一街2巷12之1號2樓,2022/02/25,2022/03/27,在職
表演禮服設計打版車縫製作班第01期,基隆市七堵區南興路37號3樓,2022/02/25,2022/03/27,在職
專業美容班,基隆市仁愛區愛四路48號8樓之2,2022/02/25,2022/04/03,在職
咖啡館飲料餐點實務班第01期,基隆市安樂區安和一街2巷12之1號2樓,2022/02/24,2022/03/26,在職
織品創意改造價值再生實作班第01期,基隆市七堵區南興路37號3樓,2022/02/23,2022/03/25,在職
手作飾品編織班第01期,基隆市仁愛區仁五路8號10樓之4,2022/02/23,2022/03/25,在職
藝術皮革手工製作班第02期,基隆市仁愛區仁五路8號10樓之4,2022/02/20,2022/03/22,在職
日語應用班第01期,基隆市仁愛區仁五路8號10樓之4,2022/02/15,2022/03/17,在職
基隆市托育人員 第01期,基隆市,2022/02/15,2022/04/06,職前
花藝飾品創作班第01期,基隆市仁愛區仁五路8號10樓之4,2022/02/14,2022/03/16,在職
美食技能實作班第01期,基隆市安樂區安一路370巷22號2樓A棟,2022/02/11,2022/03/13,在職
地方特色銅板美食班第01期,基隆市安樂區安一路370巷22號2樓A棟,2022/02/10,2022/03/12,在職
訓練人員培訓實務訓練班第01期,基隆市仁愛區愛三路37號7樓,2022/02/09,2022/03/09,在職
珠寶飾品設計與製作(基隆) 第02期,基隆市,2022/02/01,2022/06/13,職前
台式餐點製作班第01期,基隆市安樂區安和一街2巷12號2樓,2022/01/28,2022/03/08,在職
烘焙伴手禮班第01期,基隆市中正區環港街5號,2022/01/28,2022/03/08,在職
農漁產品加工暨應用班第01期,基隆市中正區環港街5號,2022/01/27,2022/03/07,在職
皮革皮雕實作班第01期,基隆市仁愛區愛四路28巷6號2樓,2022/01/26,2022/03/06,在職
手作皮革製品設計班第01期,基隆市仁愛區孝二路39號4樓,2022/01/25,2022/03/06,在職
複合式輕食咖啡餐飲技術與店面營運實務班第02期,基隆市仁愛區愛三路9號4樓之5,2022/01/25,2022/03/06,在職
泰語基礎會話與泰式風味料理訓練班第02期,基隆市仁愛區愛三路9號4樓之5,2022/01/24,2022/03/05,在職
寵物美容基礎造型專修訓練班第01期,基隆市仁愛區愛三路9號7樓之2,2022/01/24,2022/03/05,在職
木作家具實務班第01期,基隆市七堵區南興路37號3樓,2022/01/24,2022/03/05,在職
點心製作班第01期,基隆市安樂區安和一街2巷12之1號2樓,2022/01/23,2022/03/04,在職
日語日常會話應用初階班第01期第01期,基隆市仁愛區愛三路9號4樓之5 (電梯請至3樓),2022/01/23,2022/03/05,在職
美甲光療凝膠美指與電商實務班第01期,基隆市仁愛區愛三路37號7樓,2022/01/22,2022/03/03,在職
養生麵包班第01期,基隆市安樂區安一路370巷22號B棟,2022/01/22,2022/03/03,在職
淨膚美學環保清潔用品及保養品實做班第01期,基隆市安樂區安和一街2巷12之1號2樓,2022/01/22,2022/03/03,在職
創意布包實作班第01期,基隆市安樂區安和一街2巷12之1號2樓,2022/01/21,2022/03/01,在職
草本清潔用品調製班第01期,基隆市安樂區安一路370巷22號3樓A棟,2022/01/21,2022/02/20,在職
烘焙西點製作班第01期,基隆市安樂區安和一街2巷12之1號2樓,2022/01/20,2022/02/19,在職
環保生活傢飾拼貼班第01期,基隆市安樂區安一路370巷22號B棟,2022/01/19,2022/02/16,在職
AutoCAD電腦輔助機械製圖(假日班)(六堵訓練教室)第01期,基隆市,2022/01/03,2022/04/09,在職
無人機救災之影像感測與分析實務人才培訓班,基隆市中正區北寧路２號,2021/12/30,2022/06/27,青年
銲接(基隆) 第01期,基隆市,2021/12/01,2022/05/12,職前
電腦數值控制機械(CNC)(基隆) 第01期,基隆市,2021/12/01,2022/04/18,職前
家飾黏土藝術基礎班第01期,基隆市仁愛區仁五路8號10F之4,2021/11/27,2021/12/27,在職
數位行銷與工藝藝術商品設計班第05期,基隆市七堵區南興路37號3樓,2021/11/26,2021/12/26,在職
Microsoft職場文書實務應用班第02期,基隆市仁愛區愛三路九號四樓之五,2021/11/25,2021/12/25,在職
多元化飾品編織班第01期,基隆市仁愛區仁五路8號10樓之4,2021/11/24,2021/12/24,在職
雙人倫巴舞蹈訓練班第01期,基隆市仁愛區光一路28號,2021/11/24,2021/12/24,在職
烘焙西點製作班第01期,基隆市安樂區安和一街2巷12之1號2樓,2021/11/18,2021/12/18,在職
